!DEVELOPMENT OF A REDUCED N-DODECANE-PAH MECHANISM AND ITS APPLICATION FOR N-DODECANE SOOT PREDICTIONS
!HU WANG, YOUNGCHUL RA, MING JIA AND ROLF. D. REITZ
!SUBMITTED TO FUEL
!100 SPECIES AND 432 REACTIONS
 C12H26          2   789.160     7.060     0.000    22.750     1.000
 O2              1   107.400     3.458     0.000     1.600     3.800
 N2              1    97.530     3.621     0.000     1.760     4.000
 CO2             1   244.000     3.763     0.000     2.650     2.100
 H2O             2   572.400     2.605     1.844     0.000     4.000
 CO              1    98.100     3.650     0.000     1.950     1.800
 H2              1    38.000     2.920     0.000     0.790   280.000
 OH              1    80.000     2.750     0.000     0.000     0.000
 H2O2            2   107.400     3.458     0.000     0.000     3.800
 HO2             2   107.400     3.458     0.000     0.000     1.000
 H               0   145.000     2.050     0.000     0.000     0.000
 O               0    80.000     2.750     0.000     0.000     0.000
 CH3O            2   417.000     3.690     1.700     0.000     2.000
 CH2O            2   498.000     3.590     0.000     0.000     2.000
 HCO             2   498.000     3.590     0.000     0.000     0.000
 CH2             1   144.000     3.800     0.000     0.000     0.000
 CH3             1   144.000     3.800     0.000     0.000     0.000
 CH4             2   141.400     3.746     0.000     2.600    13.000
 C2H2            1   265.300     3.721     0.000     0.000     2.500
 C2H3            2   265.300     3.721     0.000     0.000     1.000
 C12H25          2   789.160     7.060     0.000    22.750     1.000
 C12H25O2        2   789.160     7.060     0.000    22.750     1.000
 C12KET          2   789.160     7.060     0.000    22.750     1.000
 C10H22          2   540.000     7.085     0.000     0.000     1.000
 C10H21          2   704.920     6.690     0.000    19.100     1.000
 C10H21O2        2   704.920     6.690     0.000    19.100     1.000
 C10KET2-1       2   704.920     6.690     0.000    19.100     1.000
 C8H16           2   485.600     6.440     0.300     0.000     1.000
 C8H15           2   485.600     6.440     0.300     0.000     1.000
 C7H15-2         2   459.600     6.253     0.000     0.000     1.000
 C7H15O2         2   561.000     6.317     1.700     0.000     1.000
 NC7KET23        2   581.300     6.506     2.000     0.000     1.000
 C7H14OOH        2   561.000     6.317     1.700     0.000     1.000
 C7H15O2H        2   561.000     6.317     1.700     0.000     1.000
 O2C7H14OOH      2   600.600     7.229     1.800     0.000     1.000
 C7H15CHO        2   581.300     6.506     2.000     0.000     1.000
 C7H15CO         2   534.500     6.240     2.580    15.000     1.000
 C6H13CHO        2   581.300     6.506     2.000     0.000     1.000
 C6H13CO         2   581.300     6.506     2.000     0.000     1.000
 C6H13           2   489.224     5.349     0.000     0.000     0.000
 C6H13O2         2   541.500     5.674     1.800     0.000     1.000
