 C7H16           2   459.600     6.253     0.000     0.000     1.000
 O2              1   107.400     3.458     0.000     1.600     3.800
 N2              1    97.530     3.621     0.000     1.760     4.000
 CO2             1   244.000     3.763     0.000     2.650     2.100
 H2O             2   572.400     2.605     1.844     0.000     4.000
 CO              1    98.100     3.650     0.000     1.950     1.800
 H2              1    38.000     2.920     0.000     0.790   280.000
 OH              1    80.000     2.750     0.000     0.000     0.000
 H2O2            2   107.400     3.458     0.000     0.000     3.800
 HO2             2   107.400     3.458     0.000     0.000     1.000
 H               0   145.000     2.050     0.000     0.000     0.000
 O               0    80.000     2.750     0.000     0.000     0.000
 CH3O            2   417.000     3.690     1.700     0.000     2.000
 CH2O            2   498.000     3.590     0.000     0.000     2.000
 HCO             2   498.000     3.590     0.000     0.000     0.000
 CH2             1   144.000     3.800     0.000     0.000     0.000
 CH3             1   144.000     3.800     0.000     0.000     0.000
 CH4             2   141.400     3.746     0.000     2.600    13.000
 C2H2            1   265.300     3.721     0.000     0.000     2.500
 C2H3            2   265.300     3.721     0.000     0.000     1.000
 C2H4            2   238.400     3.496     0.000     0.000     1.500
 C2H5            2   247.500     4.350     0.000     0.000     1.500
 HCCO            2   150.000     2.500     0.000     0.000     1.000
 CH2CO           2   436.000     3.970     0.000     0.000     2.000
 CH3CO           2   436.000     3.970     0.000     0.000     2.000
 CH3CHO          2   436.000     3.970     0.000     0.000     2.000
 CH2CHO          2   436.000     3.970     0.000     0.000     2.000
 CH3O2           2   481.800     3.626     0.000     0.000     1.000
 CH3OH           2   481.800     3.626     0.000     0.000     1.000
 CH2OH           2   417.000     3.690     1.700     0.000     2.000
 CH3O2H          2   481.800     3.626     0.000     0.000     1.000
 C2H6            2   252.300     4.302     0.000     0.000     1.500
 C3H3            1   324.800     4.290     0.000     0.000     1.000
 C3H4            1   324.800     4.290     0.000     0.000     1.000
 IC8H18          2   458.500     6.414     0.000     0.000     1.000
 C3H5            2   316.000     4.220     0.000     0.000     1.000
 C3H6            2   307.800     4.140     0.000     0.000     1.000
 NC3H7           2   303.400     4.810     0.000     0.000     1.000
 IC3H7           2   303.400     4.810     0.000     0.000     1.000
 IC4H7           2   355.000     4.650     0.000     0.000     1.000
 C4H8            2   355.000     4.650     0.000     0.000     1.000
 IC4H8           2   355.000     4.650     0.000     0.000     1.000
 PC4H9           2   352.000     5.240     0.000     0.000     1.000
 IC4H9           2   352.000     5.240     0.000     0.000     1.000
 TC4H9           2   352.000     5.240     0.000     0.000     1.000
 C5H10           2   386.200     5.489     0.400     0.000     1.000
 IC3H5CHO        2   436.400     5.352     0.000     0.000     1.000
 CH3COCH2        2   435.500     4.860     0.000     0.000     1.000
 C3KET21         2   464.200     5.009     2.600     0.000     1.000
 NC3H7CHO        2   464.200     5.009     2.600     0.000     1.000
 NC3H7CO         2   464.200     5.009     2.600     0.000     1.000
 IC3H7CHO        2   436.400     5.352     0.000     0.000     1.000
 TC3H6CHO        2   436.400     5.352     0.000     0.000     1.000
 TC3H6O2CHO      2   436.400     5.352     0.000     0.000     1.000
 TC3H6O2HCO      2   436.400     5.352     0.000     0.000     1.000
 IC3H5CO         2   436.400     5.352     0.000     0.000     1.000
 IC3H7CO         2   436.400     5.352     0.000     0.000     1.000
 CH3COCH3        2   435.500     4.860     0.000     0.000     1.000
 CH2CCH2OH       2   481.500     4.997     1.700     0.000     1.000
 CH3COCH2O2      2   502.115     5.429     0.000     0.000     0.000
 IC4H7O          2   496.000     5.200     0.000     0.000     1.000
 IC4H6OH         2   502.200     5.356     1.800     0.000     1.000
 C7H15-2         2   459.600     6.253     0.000     0.000     1.000
 C7H15O2-2       2   561.000     6.317     1.700     0.000     1.000
 C7H14OOH2-4     2   561.000     6.317     1.700     0.000     1.000
 C7H14OOH2-4O2   2   600.600     7.229     1.800     0.000     1.000
 NC7KET24        2   581.300     6.506     2.000     0.000     1.000
 AC8H17          2   458.500     6.414     0.000     0.000     1.000
 AC8H17O2        2   581.300     6.506     2.000     0.000     1.000
 AC8H16OOH-B     2   581.300     6.506     2.000     0.000     1.000
 IC8ETERAB       2   581.300     6.506     2.000     0.000     1.000
 AC8H16OOH-BO2   2   581.300     6.506     2.000     0.000     1.000
 IC8KETAB        2   581.300     6.506     2.000     0.000     1.000
 N               0    71.400     3.298     0.000     0.000     0.000
 N2O             1   232.400     3.828     0.000     0.000     1.000
 NO              1    97.530     3.621     0.000     1.760     4.000
 NO2             2   200.000     3.500     0.000     0.000     1.000
 HE              0    10.200     2.576     0.000     0.000     0.000
 AR              0   136.500     3.330     0.000     0.000     0.000
