! 56 Species mechanism for n-Heptane oxidation
! n-Heptane: n-C7H16
C2H2               1   209.0       4.1       0.0       0.0       2.5
C2H3               2   209.0       4.1       0.0       0.0       1.0
C2H4               2   281.0       3.97      0.0       0.0       1.5
C2H5               2   252.0       4.3       0.0       0.0       1.5
C2H5CHO            2   435.0       4.66      2.7       0.0       1.0
C2H5O2             2   252.0       4.3       0.0       0.0       1.5
C3H5               2   260.0       4.85      0.0       0.0       1.0
C3H6               2   267.0       4.98      0.0       0.0       1.0
C4H8-1             2   357.0       5.18      0.0       0.0       1.0
C4H9-1             2   357.0       5.18      0.0       0.0       1.0
C7H14-D1           2   457.8       6.173     0.3       0.0       1.0
C7H14-D2           2   457.8       6.173     0.3       0.0       1.0
C7H14-D3           2   457.8       6.173     0.3       0.0       1.0
C7H15O2-HP2R1      2   412.0       5.35      0.0       0.0       1.0
C7H15O2-HP4R2      2   412.0       5.35      0.0       0.0       1.0
C7H15O2-HP4R3      2   412.0       5.35      0.0       0.0       1.0
C7H15O2-P1         2   412.0       5.35      0.0       0.0       1.0
C7H15O2-P4         2   412.0       5.35      0.0       0.0       1.0
C7H15-R1           2   459.6       6.253     0.0       0.0       1.0
C7H15-R4           2   459.6       6.253     0.0       0.0       1.0
CH2CHO             2   436.0       3.97      0.0       0.0       2.0
CH2CO              2   436.0       3.97      0.0       0.0       2.0
CH2O               2   498.0       3.59      0.0       0.0       2.0
CH3                1   144.0       3.8       0.0       0.0       0.0
CH3CHO             2   436.0       3.97      0.0       0.0       2.0
CH4                2   141.0       3.75      0.0       2.6       13.0
CO                 1   98.1        3.65      0.0       1.95      1.8
CO2                1   244.0       3.76      0.0       2.65      2.1
H                  0   145.0       2.05      0.0       0.0       0.0
H2                 1   38.0        2.92      0.0       0.79      280.0
H2O                2   572.0       2.6       1.84      0.0       4.0
H2O2               2   107.0       3.46      0.0       0.0       3.8
HCCO               2   150.0       2.5       0.0       0.0       1.0
HCO                2   498.0       3.59      0.0       0.0       0.0
HO2                2   107.0       3.46      0.0       0.0       1.0
N2                 1   97.5        3.62      0.0       1.76      4.0
N-C3H7             2   267.0       4.98      0.0       0.0       1.0
N-C3H7CHO          2   464.0       5.01      2.6       0.0       1.0
N-C7H16            2   412.0       5.35      0.0       0.0       1.0
O                  0   80.0        2.75      0.0       0.0       0.0
O2                 1   107.0       3.46      0.0       1.6       3.8
OH                 1   80.0        2.75      0.0       0.0       0.0
L1                 2   412.0       5.35      0.0       0.0       1.0
L2                 2   412.0       5.35      0.0       0.0       1.0
L3                 2   412.0       5.35      0.0       0.0       1.0
L5                 2   412.0       5.35      0.0       0.0       1.0
L52                2   412.0       5.35      0.0       0.0       1.0
L53                2   412.0       5.35      0.0       0.0       1.0
L7                 2   412.0       5.35      0.0       0.0       1.0
L9                 2   459.6       6.253     0.0       0.0       1.0
L11                2   412.0       5.35      0.0       0.0       1.0
L12                2   412.0       5.35      0.0       0.0       1.0
L14                2   412.0       5.35      0.0       0.0       1.0
NO                 1   97.5        3.62      0.0       1.76      4.0
NO2                2   200.0       3.5       0.0       0.0       1.0
N                  0   71.4        3.3       0.0       0.0       0.0
